locality_code,locality_name_he,locality_name_en,transliteration,district_code,district_name,subdistrict_code,subdistrict_name,natural_area,municipal_status_code,municipal_status_name,population,year_founded,coordinates,elevation_m,planning_committee,police_station,year,cluster
7,שחר,Shahar,SHAHAR,6,הדרום,61,אשקלון,612,50,מועצה אזורית לכיש,812,1955.0,174014614251,100,634,10001813,2023,ללא שיוך לאשכול
10,תירוש,Tirosh,TIROSH,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,478,1955.0,189282628714,149,151,15000597,2023,ללא שיוך לאשכול
11,"ניר ח""ן",Nir Hen,NIR HEN,6,הדרום,61,אשקלון,612,50,מועצה אזורית לכיש,652,1955.0,172978613039,104,634,10001813,2023,ללא שיוך לאשכול
13,חצבה,Hazeva,HAZEVA,6,הדרום,62,באר שבע,625,54,מועצה אזורית הערבה התיכונה,1218,1965.0,226679519767,-156,657,10001918,2023,אשכול רשויות נגב מזרחי
15,נועם,No'am,NO'AM,6,הדרום,61,אשקלון,612,34,מועצה אזורית שפיר,466,1955.0,180004608494,161,631,10001813,2023,ללא שיוך לאשכול
16,בית ניר,Bet Nir,BET NIR,6,הדרום,61,אשקלון,612,35,מועצה אזורית יואב,660,1955.0,187997617384,240,632,10001813,2023,אשכול רשויות שורק דרומי
18,שדה משה,Sede Moshe,SEDE MOSHE,6,הדרום,61,אשקלון,612,50,מועצה אזורית לכיש,678,1956.0,181217613291,140,634,10001813,2023,ללא שיוך לאשכול
21,באר אורה,Be'er Ora,BE'ER ORA,6,הדרום,62,באר שבע,625,53,מועצה אזורית חבל אילות,1332,1950.0,198390402533,108,608,10001955,2023,אשכול רשויות נגב מזרחי
22,מקווה ישראל,Miqwe Yisra'el,MIQWE YISRA'EL,5,תל אביב,53,תל אביב,513,,חסר מעמד מוניציפלי,330,1870.0,179489659635,27,599,15005645,2023,ללא שיוך לאשכול
23,אמציה,Amazya,AMAZYA,6,הדרום,61,אשקלון,612,50,מועצה אזורית לכיש,186,1955.0,191847604508,360,634,10001813,2023,ללא שיוך לאשכול
24,לכיש,Lakhish,LAKHISH,6,הדרום,61,אשקלון,612,50,מועצה אזורית לכיש,1135,1955.0,185055607722,247,634,10001813,2023,ללא שיוך לאשכול
26,ראש פינה,Rosh Pinna,ROSH PINNA,2,הצפון,21,צפת,213,99,מועצה מקומית,3375,1882.0,251064763728,307,259,10004540,2023,אשכול רשויות גליל מזרחי
27,שדות מיכה,Sedot Mikha,SEDOT MIKHA,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,351,1955.0,192540625434,219,151,15000597,2023,ללא שיוך לאשכול
28,מזכרת בתיה,Mazkeret Batya,MAZKERET BATYA,4,המרכז,44,רחובות,441,99,מועצה מקומית,16382,1883.0,185303639848,62,453,10002241,2023,אשכול רשויות שורק דרומי
29,יסוד המעלה,Yesud HaMa'ala,YESUD HAMA'ALA,2,הצפון,21,צפת,211,99,מועצה מקומית,1966,1883.0,256670773603,95,259,10004540,2023,אשכול רשויות גליל מזרחי
31,אופקים,Ofaqim,OFAQIM,6,הדרום,62,באר שבע,622,0,עירייה,37837,1955.0,163869579594,142,601,10001893,2023,אשכול רשויות נגב מערבי
32,עוצם,Ozem,OZEM,6,הדרום,61,אשקלון,612,50,מועצה אזורית לכיש,853,1955.0,171963616156,88,634,10001813,2023,ללא שיוך לאשכול
33,בת שלמה,Bat Shelomo,BAT SHELOMO,3,חיפה,32,חדרה,322,15,מועצה אזורית חוף הכרמל,650,1889.0,200598722920,91,303,10004333,2023,אשכול רשויות מישור החוף
35,גדות,Gadot,GADOT,2,הצפון,21,צפת,213,1,מועצה אזורית הגליל העליון,480,1949.0,258253769413,116,253,10004540,2023,אשכול רשויות גליל מזרחי
36,שדה דוד,Sede Dawid,SEDE DAWID,6,הדרום,61,אשקלון,612,50,מועצה אזורית לכיש,787,1955.0,170055609442,93,634,10001813,2023,ללא שיוך לאשכול
37,איתן,Etan,ETAN,6,הדרום,61,אשקלון,612,34,מועצה אזורית שפיר,852,1955.0,176145608986,156,631,10001813,2023,ללא שיוך לאשכול
39,גפן,Gefen,GEFEN,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,441,1955.0,188573627617,159,151,15000597,2023,ללא שיוך לאשכול
41,אליכין,Elyakhin,ELYAKHIN,4,המרכז,41,השרון,411,99,מועצה מקומית,3838,1950.0,193179701567,31,457,10004261,2023,ללא שיוך לאשכול
43,מטולה,Metula,METULA,2,הצפון,21,צפת,211,99,מועצה מקומית,2152,1896.0,254170798178,445,259,10004591,2023,אשכול רשויות גליל מזרחי
44,זוהר,Zohar,ZOHAR,6,הדרום,61,אשקלון,612,50,מועצה אזורית לכיש,373,1956.0,170881611568,117,634,10001813,2023,ללא שיוך לאשכול
46,יבנאל,Yavne'el,YAVNE'EL,2,הצפון,22,כנרת,222,99,מועצה מקומית,4718,1901.0,247492734925,12,251,10004552,2023,אשכול רשויות הכנרת והעמקים
47,כפר תבור,Kefar Tavor,KEFAR TAVOR,2,הצפון,22,כנרת,222,99,מועצה מקומית,4376,1901.0,239714732528,103,251,15002472,2023,אשכול רשויות הכנרת והעמקים
