בית הכרם,8 רשויות,,,,,,,
רשות,אשכול,מחוז,מגזר רשות,מעמד מוניציפלי,"שטח (קמ""ר)"," אוכלוסייה דצמבר 2024 (למ""ס) ","אשכול כלכלי-חברתי 2021 (למ""ס)","אשכול פריפריאליות 2020 (למ""ס)"
כרמיאל,בית הכרם,צפון,יהודי,עירייה,22.03,"  48,019 ",5,4
מג'ד אל-כרום,בית הכרם,צפון,ערבי,מועצה מקומית,9.25,"  15,316 ",3,4
משגב,בית הכרם,צפון,יהודי,מועצה אזורית,164.56,"  30,768 ",7,3
נחף,בית הכרם,צפון,ערבי,מועצה מקומית,6.07,"  13,983 ",3,3
דייר אל-אסד,בית הכרם,צפון,ערבי,מועצה מקומית,5.14,"  12,610 ",4,4
ראמה,בית הכרם,צפון,דרוזי,מועצה מקומית,6.49,"  8,349 ",5,3
בענה,בית הכרם,צפון,ערבי,מועצה מקומית,3.46,"  8,689 ",3,4
סאג'ור,בית הכרם,צפון,דרוזי,מועצה מקומית,3.57,"  4,286 ",4,3
,,,,,,,,
גליל ועמקים,19 רשויות,,,,,,,
רשות,אשכול,מחוז,מגזר רשות,מעמד מוניציפלי,"שטח (קמ""ר)"," אוכלוסייה דצמבר 2024 (למ""ס) ","אשכול כלכלי-חברתי 2021 (למ""ס)","אשכול פריפריאליות 2020 (למ""ס)"
נצרת,גליל ועמקים,צפון,ערבי,עירייה,14.17,"  76,542 ",3,5
עפולה,גליל ועמקים,צפון,יהודי,עירייה,29.17,"  65,592 ",5,5
נוף הגליל,גליל ועמקים,צפון,מעורב,עירייה,32.87,"  46,191 ",5,5
עמק יזרעאל,גליל ועמקים,צפון,יהודי,מועצה אזורית,332.32,"  40,752 ",8,4
הגלבוע,גליל ועמקים,צפון,יהודי,מועצה אזורית,251.92,"  34,271 ",5,3
מגדל העמק,גליל ועמקים,צפון,יהודי,עירייה,8.71,"  28,465 ",4,4
כפר כנא,גליל ועמקים,צפון,ערבי,מועצה מקומית,10.06,"  25,204 ",3,4
יפיע,גליל ועמקים,צפון,ערבי,מועצה מקומית,4.08,"  18,862 ",3,5
אכסאל,גליל ועמקים,צפון,ערבי,מועצה מקומית,9.1,"  15,073 ",3,4
עין מאהל,גליל ועמקים,צפון,ערבי,מועצה מקומית,5.21,"  14,020 ",3,4
מגידו,גליל ועמקים,צפון,יהודי,מועצה אזורית,173.26,"  12,510 ",7,4
דבורייה,גליל ועמקים,צפון,ערבי,מועצה מקומית,5.52,"  10,755 ",4,4
משהד,גליל ועמקים,צפון,ערבי,מועצה מקומית,7.2,"  8,792 ",3,5
בוסתן אל-מרג',גליל ועמקים,צפון,ערבי,מועצה אזורית,9,"  8,411 ",3,3
עילוט,גליל ועמקים,צפון,ערבי,מועצה מקומית,3.11,"  9,052 ",2,4
זרזיר,גליל ועמקים,צפון,בדואי,מועצה מקומית,4.04,"  9,101 ",3,4
ריינה,גליל ועמקים,צפון,ערבי,מועצה מקומית,10.85,"  17,526 ",3,5
כעביה-טבאש-חג'אג'רה,גליל ועמקים,צפון,בדואי,מועצה מקומית,1.55,"  6,539 ",3,4
רמת ישי,גליל ועמקים,צפון,יהודי,מועצה מקומית,2.33,"  7,957 ",8,4
,,,,,,,,
גליל מזרחי,18 רשויות,,,,,,,
רשות,אשכול,מחוז,מגזר רשות,מעמד מוניציפלי,"שטח (קמ""ר)"," אוכלוסייה דצמבר 2024 (למ""ס) ","אשכול כלכלי-חברתי 2021 (למ""ס)","אשכול פריפריאליות 2020 (למ""ס)"
צפת,גליל מזרחי,צפון,יהודי,עירייה,29.94,"  38,995 ",2,2
קרית שמונה,גליל מזרחי,צפון,יהודי,עירייה,14.38,"  24,868 ",5,1
הגליל העליון,גליל מזרחי,צפון,יהודי,מועצה אזורית,296.09,"  20,169 ",7,1
גולן,גליל מזרחי,צפון,יהודי,מועצה אזורית,1088.89,"  21,270 ",6,1
מרום הגליל,גליל מזרחי,צפון,יהודי,מועצה אזורית,178.02,"  16,823 ",5,2
מג'דל שמס,גליל מזרחי,צפון,דרוזי,מועצה מקומית,15.38,"  11,278 ",3,1
חצור הגלילית,גליל מזרחי,צפון,יהודי,מועצה מקומית,5.46,"  10,939 ",4,2
קצרין,גליל מזרחי,צפון,יהודי,מועצה מקומית,9.42,"  8,102 ",5,1
מבואות החרמון,גליל מזרחי,צפון,יהודי,מועצה אזורית,134.89,"  8,566 ",7,1
טובא-זנגריה,גליל מזרחי,צפון,בדואי,מועצה מקומית,3.55,"  7,154 ",3,2
בוקעאתא,גליל מזרחי,צפון,דרוזי,מועצה מקומית,19.54,"  6,931 ",3,1
מסעדה,גליל מזרחי,צפון,דרוזי,מועצה מקומית,12.01,"  4,178 ",3,1
ראש פינה,גליל מזרחי,צפון,יהודי,מועצה מקומית,16.82,"  3,205 ",7,2
ג'ש (גוש חלב),גליל מזרחי,צפון,ערבי,מועצה מקומית,7.06,"  3,213 ",7,2
ע'ג'ר,גליל מזרחי,צפון,ערבי,מועצה מקומית,2.39,"  2,752 ",3,1
עין קנייא,גליל מזרחי,צפון,דרוזי,מועצה מקומית,5.41,"  2,443 ",3,1
מטולה,גליל מזרחי,צפון,יהודי,מועצה מקומית,9.39,"  2,108 ",7,1
יסוד המעלה,גליל מזרחי,צפון,יהודי,מועצה מקומית,11.69,"  1,680 ",7,1
,,,,,,,,
גליל מערבי,20 רשויות,,,,,,,
רשות,אשכול,מחוז,מגזר רשות,מעמד מוניציפלי,"שטח (קמ""ר)"," אוכלוסייה דצמבר 2024 (למ""ס) ","אשכול כלכלי-חברתי 2021 (למ""ס)","אשכול פריפריאליות 2020 (למ""ס)"
נהריה,גליל מערבי,צפון,יהודי,עירייה,13.47,"  67,477 ",6,4
עכו,גליל מערבי,צפון,מעורב,עירייה,17.49,"  52,911 ",4,4
מטה אשר,גליל מערבי,צפון,יהודי,מועצה אזורית,216.29,"  31,422 ",7,3
מעלות-תרשיחא,גליל מערבי,צפון,מעורב,עירייה,9.26,"  23,097 ",5,3
בית ג'ן,גליל מערבי,צפון,דרוזי,מועצה מקומית,6.2,"  12,394 ",4,2
מעלה יוסף,גליל מערבי,צפון,יהודי,מועצה אזורית,93.41,"  11,955 ",7,2
