sheet_name,muni_id,live_name_he,status
כרמיאל,51139,כרמיאל,matched
מג'ד אל-כרום,90516,מג'ד אל כרום,matched
משגב,2456,משגב,matched
נחף,90522,נחף,matched
דייר אל-אסד,90490,דיר אל אסד,matched
ראמה,90543,ראמה,matched
בענה,90483,בענה,matched
סאג'ור,90525,סאג'ור,matched
נצרת,37300,נצרת,matched
עפולה,37700,עפולה,matched
נוף הגליל,31061,נצרת עלית,matched
עמק יזרעאל,2309,עמק יזרעאל,matched
הגלבוע,2308,הגלבוע,matched
מגדל העמק,50874,מגדל העמק,matched
כפר כנא,90509,כפר כנא,matched
יפיע,90499,יפיע,matched
אכסאל,90478,איכסל,matched
עין מאהל,90532,עין מאהל,matched
מגידו,2313,מגידו,matched
דבורייה,90489,דבוריה,matched
משהד,90520,משהד,matched
בוסתן אל-מרג',92566,בוסתן אל מרג',matched
עילוט,90511,עילוט,matched
זרזיר,90975,זרזיר,matched
ריינה,90542,ריינה,matched
כעביה-טבאש-חג'אג'רה,90978,כעביה תבש,matched
רמת ישי,80122,רמת ישי,matched
צפת,38000,צפת,matched
קרית שמונה,32800,קרית שמונה,matched
הגליל העליון,2101,הגליל העליון,matched
גולן,2971,גולן,matched
מרום הגליל,2102,מרום הגליל,matched
מג'דל שמס,94201,מג'דל שמס,matched
חצור הגלילית,52034,חצור,matched
קצרין,84100,קצרין,matched
מבואות החרמון,2155,מבואות חרמון,matched
טובא-זנגריה,90962,טובא זנגריה,matched
בוקעאתא,94001,בוקעתה,matched
מסעדה,94203,מסעדה,matched
ראש פינה,80026,ראש פינה,matched
ג'ש (גוש חלב),90487,גוש חלב,matched
ע'ג'ר,94501,רג'ר,matched
עין קנייא,94502,עין קיניה,matched
מטולה,70043,מטולה,matched
יסוד המעלה,80029,יסוד המעלה,matched
נהריה,29100,נהריה,matched
עכו,37600,עכו,matched
מטה אשר,2404,מטה אשר,matched
מעלות-תרשיחא,51063,מעלות תרשיחא,matched
בית ג'ן,90480,בית ג'ן,matched
מעלה יוסף,6252,מעלה יוסף,matched
שלומי,50812,שלומי,matched
חורפיש,90496,חורפיש,matched
כפר ורדים,81263,כפר ורדים,matched
מזרעה,90517,מזרעה,matched
פסוטה,90535,פסוטה,matched
מעיליא,90518,מעיליא,matched
תפן,,,UNMATCHED (sheet row)
ג'דיידה-מכר,90486,ג'דידה-מכר,matched
ירכא,90502,ירכא,matched
ג'וליס,90485,ג'וליס,matched
כפר יאסיף,90507,כפר יאסיף,matched
אבו סנאן,90473,אבו סנאן,matched
כסרא-סמיע,90506,כסרא-סמיע,matched
פקיעין (בוקייעה),90536,פקיעין,matched
מודיעין עילית,83797,מודיעין עילית,matched
מטה בנימין,7473,מטה בנימין,matched
גבעת זאב,83730,גבעת זאב,matched
אורנית,83760,אורנית,matched
אלפי מנשה,73750,אלפי מנשה,matched
קרני שומרון,83640,קרני שומרון,matched
בית אל,83574,בית אל,matched
ערבות הירדן,7575,ערבות הירדן,matched
קדומים,83557,קדומים,matched
הר אדר,83769,הר אדר,matched
עמנואל,53660,עמנואל,matched
אלקנה,83560,אלקנה,matched
מגילות ים המלח,7574,מגילות,matched
שומרון,7372,שומרון,matched
קרית ארבע,83611,קרית ארבע,matched
הר חברון,7778,הר חברון,matched
שער השומרון,,,UNMATCHED (sheet row)
מעלה אדומים,83616,מעלה אדומים,matched
טבריה,36700,טבריה,matched
מגאר,90481,מג'אר,matched
בית שאן,59200,בית שאן,matched
טורעאן,90498,טורעאן,matched
עמק הירדן,2206,עמק הירדן,matched
עמק המעיינות,2307,בקעת בית שאן (עמק המעיינות),matched
הגליל התחתון,2203,הגליל התחתון,matched
בועיינה-נוג'ידאת,90482,בועינה נוג'ידאת,matched
אל-בטוף,92565,אל בטוף,matched
שבלי - אום אל-גנם,90913,שיבלי,matched
עיילבון,90530,עילבון,matched
כפר תבור,80047,כפר תבור,matched
יבנאל,80046,יבנאל,matched
כפר כמא,90508,כפר קמא,matched
מגדל,80065,מגדל,matched
ביר אל-מכסור,90998,ביר אל מוכסור,matched
קרית אתא,36800,קרית אתא,matched
קרית מוצקין,38200,קרית מוצקין,matched
קרית ים,39600,קרית ים,matched
קרית ביאליק,39500,קרית ביאליק,matched
שפרעם,38800,שפרעם,matched
רכסים,50922,רכסים,matched
טמרה,98900,טמרה,matched
יקנעם עילית,60240,יקנעם עלית,matched
טירת הכרמל,52100,טירת הכרמל,matched
קרית טבעון,42300,קרית טבעון,matched
דאלית אל-כרמל,90494,דלית אל כרמל,matched
זבולון,3112,זבולון,matched
אעבלין,90529,איעבלין,matched
עספיא,90534,עוספיא,matched
בסמת טבעון,90944,בסמת טבעון,matched
נשר,42500,נשר,matched
כאבול,90504,כאבול,matched
דימונה,32200,דימונה,matched
ערד,52560,ערד,matched
ערערה בנגב,91192,ערערה שבנגב,matched
כסיפה,91059,כסייפה,matched
חורה,91303,חורה,matched
אל קסום,6269,אל קאסום,matched
ירוחם,50831,ירוחם,matched
שגב שלום,91286,שגב שלום,matched
מיתר,71268,מיתר,matched
נווה מדבר,,,UNMATCHED (sheet row)
רמת נגב,6248,רמת הנגב,matched
מצפה רמון,50099,מצפה רמון,matched
חבל אילות,6253,חבל אילות,matched
הערבה התיכונה,6254,ערבה התיכונה,matched
תל שבע,91054,תל שבע,matched
רהט,91161,רהט,matched
נתיבות,50246,נתיבות,matched
אופקים,50031,אופקים,matched
שדרות,51031,שדרות,matched
אשכול,6238,אשכול,matched
לקיה,91060,לקיה,matched
מרחבים,6242,מרחבים,matched
בני שמעון,6241,בני שמעון,matched
שדות נגב,6239,שדות נגב,matched
שער הנגב,6137,שער הנגב,matched
חוף אשקלון,6136,חוף אשקלון,matched
כפר סבא,26900,כפר סבא,matched
רעננה,48700,רעננה,matched
הוד השרון,69700,הוד השרון,matched
טייבה,92730,טייבה,matched
דרום השרון,4220,דרום השרון,matched
כפר קאסם,90634,כפר קאסם,matched
לב השרון,4118,לב השרון,matched
קלנסווה,90638,קלנסואה,matched
קדימה-צורן,1350,קדימה-צורן,matched
ג'לג'וליה,90627,ג'לג'וליה,matched
כוכב יאיר,71224,כוכב יאיר,matched
כפר ברא,90633,כפר ברא,matched
טירה,92720,טירה,matched
תל מונד,60154,תל מונד,matched
כפר יונה,60168,כפר יונה,matched
מזכרת בתיה,80028,מזכרת בתיה,matched
גדרה,62550,גדרה,matched
קרית מלאכי,51034,קרית מלאכי,matched
באר טוביה,6133,באר טוביה,matched
קרית עקרון,50469,קרית עקרון,matched
נחל שורק,4431,נחל שורק,matched
יואב,6135,יואב,matched
ברנר,4428,ברנר,matched
"בני עי""ש",71066,בני עייש,matched
חבל יבנה,4429,חבל יבנה,matched
חוף הכרמל,3215,חוף הכרמל (עתלית),matched
זכרון יעקב,69300,זכרון יעקב,matched
בנימינה-גבעת עדה,1352,בנימינה-גבעת עדה,matched
פוריידיס,90537,פורידיס,matched
אלונה,3245,אלונה,matched
ג'סר א-זרקא,90541,ג'יסר אל זרקא,matched
מנשה,3214,מנשה,matched
אום אל-פחם,92710,אום אל פחם,matched
כפר קרע,90654,כפר קרע,matched
פרדס חנה-כרכור,67800,פרדס חנה-כרכור,matched
,1026,מטה יהודה,UNMATCHED (live row)
,1351,מודיעין-מכבים רעות,UNMATCHED (live row)
,1357,יהוד-נווה אפרים,UNMATCHED (live row)
,4116,עמק חפר,UNMATCHED (live row)
,4119,חוף השרון,UNMATCHED (live row)
,4225,חבל מודיעין,UNMATCHED (live row)
,4330,גזר,UNMATCHED (live row)
,4340,עמק לוד,UNMATCHED (live row)
,4427,גן רווה,UNMATCHED (live row)
,4432,גדרות,UNMATCHED (live row)
,6134,שפיר,UNMATCHED (live row)
,6150,לכיש,UNMATCHED (live row)
,6251,תמר,UNMATCHED (live row)
,7676,גוש עציון,UNMATCHED (live row)
,13000,ירושלים,UNMATCHED (live row)
,14000,חיפה,UNMATCHED (live row)
,15000,תל אביב - יפו,UNMATCHED (live row)
,18600,רמת גן,UNMATCHED (live row)
,26100,בני ברק,UNMATCHED (live row)
,26200,בת ים,UNMATCHED (live row)
,26300,גבעתיים,UNMATCHED (live row)
,26400,הרצליה,UNMATCHED (live row)
,26500,חדרה,UNMATCHED (live row)
,26600,חולון,UNMATCHED (live row)
,27400,נתניה,UNMATCHED (live row)
,28300,ראשון לציון,UNMATCHED (live row)
,28400,רחובות,UNMATCHED (live row)
,30070,אשדוד,UNMATCHED (live row)
,32600,אילת,UNMATCHED (live row)
,32630,קרית גת,UNMATCHED (live row)
,37000,לוד,UNMATCHED (live row)
,37100,אשקלון,UNMATCHED (live row)
,38500,רמלה,UNMATCHED (live row)
,39000,,UNMATCHED (live row)
,40565,אזור,UNMATCHED (live row)
,40681,גבעת שמואל,UNMATCHED (live row)
,42620,קרית אונו,UNMATCHED (live row)
,42650,רמת השרון,UNMATCHED (live row)
,47200,נס ציונה,UNMATCHED (live row)
,50229,גני תקווה,UNMATCHED (live row)
,50466,בית דגן,UNMATCHED (live row)
,51015,מבשרת ציון,UNMATCHED (live row)
,51020,אור עקיבא,UNMATCHED (live row)
,52400,אור יהודה,UNMATCHED (live row)
,52610,בית שמש,UNMATCHED (live row)
,52640,ראש העין,UNMATCHED (live row)
,52660,יבנה,UNMATCHED (live row)
,53780,ביתר עילית,UNMATCHED (live row)
,60041,אליכין,UNMATCHED (live row)
,60166,גן יבנה,UNMATCHED (live row)
,60182,אבן יהודה,UNMATCHED (live row)
,62530,באר יעקב,UNMATCHED (live row)
,70267,כפר שמריהו,UNMATCHED (live row)
,70587,סביון,UNMATCHED (live row)
,70666,עומר,UNMATCHED (live row)
,71271,להבים,UNMATCHED (live row)
,80171,פרדסיה,UNMATCHED (live row)
,81137,קרית יערים,UNMATCHED (live row)
,81247,חריש,UNMATCHED (live row)
,81304,שוהם,UNMATCHED (live row)
,81309,אלעד,UNMATCHED (live row)
,83570,אריאל,UNMATCHED (live row)
,83608,מעלה אפרים,UNMATCHED (live row)
,83650,אפרת,UNMATCHED (live row)
,83652,בית אריה,UNMATCHED (live row)
,90472,אבו גוש,UNMATCHED (live row)
,90492,דיר חנא,UNMATCHED (live row)
,90500,ינוח-ג'ת,UNMATCHED (live row)
,90505,כווכב,UNMATCHED (live row)
,90510,כפר מנדא,UNMATCHED (live row)
,90531,עראבה,UNMATCHED (live row)
,90538,שעב,UNMATCHED (live row)
,90628,ג'ת,UNMATCHED (live row)
,90637,ערערה,UNMATCHED (live row)
,91290,זמר,UNMATCHED (live row)
,91326,"בסמ""ה",UNMATCHED (live row)
,91327,מעלה עירון,UNMATCHED (live row)
,96000,באקה אל גרביה,UNMATCHED (live row)
,97500,סכנין,UNMATCHED (live row)
