municipality_code,municipality_name,municipality_type,district_name,subdistrict_name,cluster,total_population,num_localities,localities
0,חסר מעמד מוניציפלי,חסר מעמד מוניציפלי,תל אביב,תל אביב,ללא שיוך לאשכול,1173,75,"[{""locality_code"": 22, ""locality_name_he"": ""מקווה ישראל"", ""locality_name_en"": ""Miqwe Yisra'el"", ""population"": 330}, {""locality_code"": 926, ""locality_name_he"": ""נווה אבות"", ""locality_name_en"": ""Newe Avot"", ""population"": 43}, {""locality_code"": 932, ""locality_name_he"": ""אבו עמרה (שבט)"", ""locality_name_en"": ""Abu 'Amra"", ""population"": 0}, {""locality_code"": 935, ""locality_name_he"": ""אבו סריחאן (שבט)"", ""locality_name_en"": ""Abu Surayhan"", ""population"": 0}, {""locality_code"": 939, ""locality_name_he"": ""מסעודין אל-עזאזמה (שבט)"", ""locality_name_en"": ""Mas'udin al 'Azazma"", ""population"": 0}, {""locality_code"": 956, ""locality_name_he"": ""הוזייל (שבט)"", ""locality_name_en"": ""Al-Huzayyil"", ""population"": 0}, {""locality_code"": 957, ""locality_name_he"": ""עוקבי (בנו עוקבה) (שבט)"", ""locality_name_en"": ""Al-'Ukbi"", ""population"": 0}, {""locality_code"": 958, ""locality_name_he"": ""אבו עבדון (שבט)"", ""locality_name_en"": ""Abu 'Abdun"", ""population"": 0}, {""locality_code"": 959, ""locality_name_he"": ""אפיניש (שבט)"", ""locality_name_en"": ""Afaynish"", ""population"": 0}, {""locality_code"": 960, ""locality_name_he"": ""אסד (שבט)"", ""locality_name_en"": ""Asad"", ""population"": 0}, {""locality_code"": 961, ""locality_name_he"": ""אבו רוקייק (שבט)"", ""locality_name_en"": ""Abu Rukayyek"", ""population"": 0}, {""locality_code"": 963, ""locality_name_he"": ""אעצם (שבט)"", ""locality_name_en"": ""A'sam"", ""population"": 0}, {""locality_code"": 964, ""locality_name_he"": ""קודייראת א-צאנע (שבט)"", ""locality_name_en"": ""Kudayrat as-Sani'"", ""population"": 0}, {""locality_code"": 965, ""locality_name_he"": ""אטרש (שבט)"", ""locality_name_en"": ""Atrash"", ""population"": 0}, {""locality_code"": 966, ""locality_name_he"": ""אבו רובייעה (שבט)"", ""locality_name_en"": ""Abu Rubay'a"", ""population"": 0}, {""locality_code"": 967, ""locality_name_he"": ""אבו ג'ווייעד (שבט)"", ""locality_name_en"": ""Abu Juway'ad"", ""population"": 0}, {""locality_code"": 968, ""locality_name_he"": ""אבו קורינאת (שבט)"", ""locality_name_en"": ""Abu Kuraynat"", ""population"": 0}, {""locality_code"": 969, ""locality_name_he"": ""עטאוונה (שבט)"", ""locality_name_en"": ""Al-'Atawina"", ""population"": 0}, {""locality_code"": 970, ""locality_name_he"": ""תראבין א-צאנע (שבט)"", ""locality_name_en"": ""Tarabin as-Sani'"", ""population"": 0}, {""locality_code"": 972, ""locality_name_he"": ""קוואעין (שבט)"", ""locality_name_en"": ""Kawa'in"", ""population"": 0}, {""locality_code"": 976, ""locality_name_he"": ""ג'נאביב (שבט)"", ""locality_name_en"": ""Janabib"", ""population"": 0}, {""locality_code"": 986, ""locality_name_he"": ""ח'ואלד (שבט)"", ""locality_name_en"": ""Khawalid / Al-Khawalid"", ""population"": 0}, {""locality_code"": 989, ""locality_name_he"": ""סואעד (כמאנה) (שבט)"", ""locality_name_en"": ""Sawa'id (Al-Kammana)"", ""population"": 0}, {""locality_code"": 1041, ""locality_name_he"": ""נצאצרה (שבט)"", ""locality_name_en"": ""An-Nasasira"", ""population"": 0}, {""locality_code"": 1042, ""locality_name_he"": ""אבו עמאר (שבט)"", ""locality_name_en"": ""Abu 'Ammar"", ""population"": 0}, {""locality_code"": 1169, ""locality_name_he"": ""הוואשלה (שבט)"", ""locality_name_en"": ""Al-Hawashila"", ""population"": 0}, {""locality_code"": 1170, ""locality_name_he"": ""סייד (שבט)"", ""locality_name_en"": ""Sayyid"", ""population"": 0}, {""locality_code"": 1196, ""locality_name_he"": ""מחנה יתיר"", ""locality_name_en"": ""Mahane Yattir"", ""population"": 332}, {""locality_code"": 1234, ""locality_name_he"": ""קבועה (שבט)"", ""locality_name_en"": ""Kabbu'a"", ""population"": 0}, {""locality_code"": 1287, ""locality_name_he"": ""שני"", ""locality_name_en"": ""Shani"", ""population"": 468}, {""locality_code"": 1748, ""locality_name_he"": ""נמל תעופה בן-גוריון"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1802, ""locality_name_he"": ""הרי יהודה של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1804, ""locality_name_he"": ""שפלת יהודה של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1808, ""locality_name_he"": ""עמק חולה של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1812, ""locality_name_he"": ""גליל עליון מז של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1815, ""locality_name_he"": ""אזור חצור של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1818, ""locality_name_he"": ""אזור כנרות של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1822, ""locality_name_he"": ""גליל תחתון מז של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1823, ""locality_name_he"": ""הרי נצרת-תירען"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1825, ""locality_name_he"": ""עמק בית שאן של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1827, ""locality_name_he"": ""עמק חרוד של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1831, ""locality_name_he"": ""רמת כוכב של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1838, ""locality_name_he"": ""רמת מנשה של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1842, ""locality_name_he"": ""אזור שפרעם של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1845, ""locality_name_he"": ""אזור כרמיאל של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1850, ""locality_name_he"": ""אזור יחיעם של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1853, ""locality_name_he"": ""אזור אילון של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1856, ""locality_name_he"": ""אזור נהרייה של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1859, ""locality_name_he"": ""אזור עכו של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1862, ""locality_name_he"": ""אזור חיפה של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1867, ""locality_name_he"": ""אזור זכרון יעקב של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1870, ""locality_name_he"": ""הר אלכסנדר של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1874, ""locality_name_he"": ""אזור חדרה של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1885, ""locality_name_he"": ""דרום השרון של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1889, ""locality_name_he"": ""אזור פתח תקווה של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1894, ""locality_name_he"": ""אזור רמלה של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1895, ""locality_name_he"": ""אזור מודיעין של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1902, ""locality_name_he"": ""אזור רחובות של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1904, ""locality_name_he"": ""אזור ראשל\""צ של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1905, ""locality_name_he"": ""אזור תל אביב של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1908, ""locality_name_he"": ""אזור רמת גן של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1909, ""locality_name_he"": ""אזור חולון של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1923, ""locality_name_he"": ""אזור אשדוד של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1939, ""locality_name_he"": ""אזור באר שבע של\""ש"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1971, ""locality_name_he"": ""נפת ג'נין"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1973, ""locality_name_he"": ""נפת שכם"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1975, ""locality_name_he"": ""נפת טול כרם"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1977, ""locality_name_he"": ""נפת ראמאללה"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1980, ""locality_name_he"": ""נפת ירדן"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1982, ""locality_name_he"": ""נפת בית לחם"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1984, ""locality_name_he"": ""נפת חברון"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1997, ""locality_name_he"": ""גמ\""ל מחוז דרום"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1998, ""locality_name_he"": ""דרום יהודה"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1999, ""locality_name_he"": ""השומרון"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 2742, ""locality_name_he"": ""זבארגה (שבט)"", ""locality_name_en"": ""Az-Zabarika"", ""population"": 0}]"
69,מועצה אזורית אל קסום,מועצה אזורית,הדרום,באר שבע,אשכול רשויות נגב מזרחי,19972,7,"[{""locality_code"": 1343, ""locality_name_he"": ""מכחול"", ""locality_name_en"": ""Makchul"", ""population"": 1904}, {""locality_code"": 1346, ""locality_name_he"": ""תרבין א-צאנע (יישוב)*"", ""locality_name_en"": ""Tarabin As-Sani"", ""population"": 1037}, {""locality_code"": 1349, ""locality_name_he"": ""דריג'את"", ""locality_name_en"": ""Derig'at"", ""population"": 571}, {""locality_code"": 1358, ""locality_name_he"": ""אום בטין"", ""locality_name_en"": ""Umm Batin"", ""population"": 5295}, {""locality_code"": 1359, ""locality_name_he"": ""אל סייד"", ""locality_name_en"": ""Al Sayyid"", ""population"": 5775}, {""locality_code"": 1360, ""locality_name_he"": ""סעוה"", ""locality_name_en"": ""Sa'Wa"", ""population"": 5046}, {""locality_code"": 1367, ""locality_name_he"": ""כחלה"", ""locality_name_en"": ""Kochlea"", ""population"": 344}]"
65,מועצה אזורית אל-בטוף,מועצה אזורית,הצפון,יזרעאל,אשכול רשויות הכנרת והעמקים,9162,4,"[{""locality_code"": 528, ""locality_name_he"": ""עוזייר"", ""locality_name_en"": ""Uzeir"", ""population"": 3455}, {""locality_code"": 539, ""locality_name_he"": ""רומאנה"", ""locality_name_en"": ""Rummane"", ""population"": 1393}, {""locality_code"": 993, ""locality_name_he"": ""חמאם"", ""locality_name_en"": ""Hamam"", ""population"": 1749}, {""locality_code"": 997, ""locality_name_he"": ""רומת הייב"", ""locality_name_en"": ""Rumat Heib"", ""population"": 2565}]"
45,מועצה אזורית אלונה,מועצה אזורית,חיפה,חדרה,אשכול רשויות מישור החוף,2196,5,"[{""locality_code"": 360, ""locality_name_he"": ""גבעת ניל\""י"", ""locality_name_en"": ""Giv'at Nili"", ""population"": 639}, {""locality_code"": 679, ""locality_name_he"": ""אביאל"", ""locality_name_en"": ""Avi'el"", ""population"": 796}, {""locality_code"": 773, ""locality_name_he"": ""עמיקם"", ""locality_name_en"": ""Ammiqam"", ""population"": 761}, {""locality_code"": 1868, ""locality_name_he"": ""הר אלכסנדר מ\""א 45"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1871, ""locality_name_he"": ""אזור חדרה מ\""א 45"", ""locality_name_en"": """", ""population"": 0}]"
38,מועצה אזורית אשכול,מועצה אזורית,הדרום,באר שבע,אשכול רשויות נגב מערבי,18517,34,"[{""locality_code"": 69, ""locality_name_he"": ""ניר עוז"", ""locality_name_en"": ""Nir Oz"", ""population"": 421}, {""locality_code"": 318, ""locality_name_he"": ""עמיעוז"", ""locality_name_en"": ""Ammi'oz"", ""population"": 584}, {""locality_code"": 352, ""locality_name_he"": ""גבולות"", ""locality_name_en"": ""Gevulot"", ""population"": 438}, {""locality_code"": 399, ""locality_name_he"": ""בארי"", ""locality_name_en"": ""Be'eri"", ""population"": 1077}, {""locality_code"": 402, ""locality_name_he"": ""ניר יצחק"", ""locality_name_en"": ""Nir Yizhaq"", ""population"": 580}, {""locality_code"": 403, ""locality_name_he"": ""אורים"", ""locality_name_en"": ""Urim"", ""population"": 453}, {""locality_code"": 413, ""locality_name_he"": ""צאלים"", ""locality_name_en"": ""Ze'elim"", ""population"": 492}, {""locality_code"": 602, ""locality_name_he"": ""נירים"", ""locality_name_en"": ""Nirim"", ""population"": 482}, {""locality_code"": 676, ""locality_name_he"": ""עין השלושה"", ""locality_name_en"": ""En HaShelosha"", ""population"": 399}, {""locality_code"": 695, ""locality_name_he"": ""מגן"", ""locality_name_en"": ""Magen"", ""population"": 541}, {""locality_code"": 713, ""locality_name_he"": ""רעים"", ""locality_name_en"": ""Re'im"", ""population"": 465}, {""locality_code"": 829, ""locality_name_he"": ""מבטחים"", ""locality_name_en"": ""Mivtahim"", ""population"": 915}, {""locality_code"": 840, ""locality_name_he"": ""כיסופים"", ""locality_name_en"": ""Kissufim"", ""population"": 343}, {""locality_code"": 916, ""locality_name_he"": ""ישע"", ""locality_name_en"": ""Yesha"", ""population"": 658}, {""locality_code"": 1046, ""locality_name_he"": ""אוהד"", ""locality_name_en"": ""Ohad"", ""population"": 623}, {""locality_code"": 1051, ""locality_name_he"": ""תלמי אליהו"", ""locality_name_en"": ""Talme Eliyyahu"", ""population"": 424}, {""locality_code"": 1058, ""locality_name_he"": ""שדה ניצן"", ""locality_name_en"": ""Sede Nizzan"", ""population"": 530}, {""locality_code"": 1085, ""locality_name_he"": ""כרם שלום"", ""locality_name_en"": ""Kerem Shalom"", ""population"": 236}, {""locality_code"": 1136, ""locality_name_he"": ""צוחר"", ""locality_name_en"": ""Zohar"", ""population"": 601}, {""locality_code"": 1223, ""locality_name_he"": ""שדי אברהם"", ""locality_name_en"": ""Sede Avraham"", ""population"": 437}, {""locality_code"": 1227, ""locality_name_he"": ""יתד"", ""locality_name_en"": ""Yated"", ""population"": 843}, {""locality_code"": 1231, ""locality_name_he"": ""פרי גן"", ""locality_name_en"": ""Peri Gan"", ""population"": 330}, {""locality_code"": 1232, ""locality_name_he"": ""יבול"", ""locality_name_en"": ""Yevul"", ""population"": 444}, {""locality_code"": 1237, ""locality_name_he"": ""תלמי יוסף"", ""locality_name_en"": ""Talme Yosef"", ""population"": 479}, {""locality_code"": 1238, ""locality_name_he"": ""סופה"", ""locality_name_en"": ""Sufa"", ""population"": 223}, {""locality_code"": 1239, ""locality_name_he"": ""חולית"", ""locality_name_en"": ""Holit"", ""population"": 244}, {""locality_code"": 1240, ""locality_name_he"": ""עין הבשור"", ""locality_name_en"": ""En HaBesor"", ""population"": 1382}, {""locality_code"": 1241, ""locality_name_he"": ""דקל"", ""locality_name_en"": ""Deqel"", ""population"": 440}, {""locality_code"": 1311, ""locality_name_he"": ""אבשלום"", ""locality_name_en"": ""Avshalom"", ""population"": 419}, {""locality_code"": 1363, ""locality_name_he"": ""בני נצרים"", ""locality_name_en"": ""Bne Netsarim"", ""population"": 1155}, {""locality_code"": 1364, ""locality_name_he"": ""שלומית"", ""locality_name_en"": ""Shlomit"", ""population"": 536}, {""locality_code"": 1366, ""locality_name_he"": ""נווה"", ""locality_name_en"": ""Nave"", ""population"": 1323}, {""locality_code"": 1769, ""locality_name_he"": ""מפעלי מעון"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1933, ""locality_name_he"": ""אזור בשור מ\""א 38"", ""locality_name_en"": """", ""population"": 0}]"
33,מועצה אזורית באר טוביה,מועצה אזורית,הדרום,אשקלון,אשכול רשויות שורק דרומי,23949,30,"[{""locality_code"": 155, ""locality_name_he"": ""באר טוביה"", ""locality_name_en"": ""Be'er Toviyya"", ""population"": 1372}, {""locality_code"": 163, ""locality_name_he"": ""תימורים"", ""locality_name_en"": ""Timmorim"", ""population"": 719}, {""locality_code"": 234, ""locality_name_he"": ""ביצרון"", ""locality_name_en"": ""Bizzaron"", ""population"": 1285}, {""locality_code"": 320, ""locality_name_he"": ""כפר ורבורג"", ""locality_name_en"": ""Kefar Warburg"", ""population"": 1170}, {""locality_code"": 406, ""locality_name_he"": ""חצור-אשדוד"", ""locality_name_en"": ""Hazor-Ashdod"", ""population"": 944}, {""locality_code"": 553, ""locality_name_he"": ""ניר בנים"", ""locality_name_en"": ""Nir Banim"", ""population"": 812}, {""locality_code"": 593, ""locality_name_he"": ""ערוגות"", ""locality_name_en"": ""Arugot"", ""population"": 1169}, {""locality_code"": 690, ""locality_name_he"": ""כפר אחים"", ""locality_name_en"": ""Kefar Ahim"", ""population"": 811}, {""locality_code"": 700, ""locality_name_he"": ""חצב"", ""locality_name_en"": ""Hazav"", ""population"": 1600}, {""locality_code"": 727, ""locality_name_he"": ""תלמי יחיאל"", ""locality_name_en"": ""Talme Yehi'el"", ""population"": 939}, {""locality_code"": 739, ""locality_name_he"": ""שדה עוזיהו"", ""locality_name_en"": ""Sede Uzziyyahu"", ""population"": 1560}, {""locality_code"": 756, ""locality_name_he"": ""בית עזרא"", ""locality_name_en"": ""Bet Ezra"", ""population"": 1132}, {""locality_code"": 763, ""locality_name_he"": ""שתולים"", ""locality_name_en"": ""Shetulim"", ""population"": 2207}, {""locality_code"": 772, ""locality_name_he"": ""אמונים"", ""locality_name_en"": ""Emunim"", ""population"": 1038}, {""locality_code"": 793, ""locality_name_he"": ""גבעתי"", ""locality_name_en"": ""Giv'ati"", ""population"": 1109}, {""locality_code"": 817, ""locality_name_he"": ""עזריקם"", ""locality_name_en"": ""Azriqam"", ""population"": 1601}, {""locality_code"": 819, ""locality_name_he"": ""אביגדור"", ""locality_name_en"": ""Avigedor"", ""population"": 870}, {""locality_code"": 827, ""locality_name_he"": ""נווה מבטח"", ""locality_name_en"": ""Newe Mivtah"", ""population"": 718}, {""locality_code"": 1149, ""locality_name_he"": ""עזר"", ""locality_name_en"": ""Ezer"", ""population"": 713}, {""locality_code"": 1157, ""locality_name_he"": ""אחווה"", ""locality_name_en"": ""Ahawa"", ""population"": 291}, {""locality_code"": 1414, ""locality_name_he"": ""מחנה מרים*"", ""locality_name_en"": ""Mahane Miryam"", ""population"": 0}, {""locality_code"": 1753, ""locality_name_he"": ""מפעלי כנות"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1754, ""locality_name_he"": ""תעשיון מבצע*"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1761, ""locality_name_he"": ""מפעלי צומת מלאכי"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1762, ""locality_name_he"": ""עד הלום"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1911, ""locality_name_he"": ""אזור מלאכי מ\""א 33"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1921, ""locality_name_he"": ""אזור אשדוד מ\""א 33"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 2006, ""locality_name_he"": ""כנות"", ""locality_name_en"": ""Kannot"", ""population"": 113}, {""locality_code"": 2011, ""locality_name_he"": ""ינון"", ""locality_name_en"": ""Yinnon"", ""population"": 1229}, {""locality_code"": 2012, ""locality_name_he"": ""אורות"", ""locality_name_en"": ""Orot"", ""population"": 547}]"
66,מועצה אזורית בוסתן אל-מרג',מועצה אזורית,הצפון,יזרעאל,אשכול רשויות הגליל והעמקים,8342,4,"[{""locality_code"": 475, ""locality_name_he"": ""דחי"", ""locality_name_en"": ""Dahi"", ""population"": 668}, {""locality_code"": 512, ""locality_name_he"": ""כפר מצר"", ""locality_name_en"": ""Kafar Misr"", ""population"": 2759}, {""locality_code"": 523, ""locality_name_he"": ""ניין"", ""locality_name_en"": ""Nein"", ""population"": 2024}, {""locality_code"": 526, ""locality_name_he"": ""סולם"", ""locality_name_en"": ""Sulam"", ""population"": 2891}]"
41,מועצה אזורית בני שמעון,מועצה אזורית,הדרום,באר שבע,אשכול רשויות נגב מערבי,11763,18,"[{""locality_code"": 394, ""locality_name_he"": ""שובל"", ""locality_name_en"": ""Shoval"", ""population"": 1032}, {""locality_code"": 395, ""locality_name_he"": ""משמר הנגב"", ""locality_name_en"": ""Mishmar HaNegev"", ""population"": 1121}, {""locality_code"": 396, ""locality_name_he"": ""נבטים"", ""locality_name_en"": ""Nevatim"", ""population"": 1137}, {""locality_code"": 397, ""locality_name_he"": ""חצרים"", ""locality_name_en"": ""Hazerim"", ""population"": 988}, {""locality_code"": 598, ""locality_name_he"": ""בית קמה"", ""locality_name_en"": ""Bet Qama"", ""population"": 1059}, {""locality_code"": 849, ""locality_name_he"": ""דביר"", ""locality_name_en"": ""Dvir"", ""population"": 1163}, {""locality_code"": 1198, ""locality_name_he"": ""כרמים"", ""locality_name_en"": ""Keramim"", ""population"": 591}, {""locality_code"": 1265, ""locality_name_he"": ""שומרייה"", ""locality_name_en"": ""Shomeriyya"", ""population"": 865}, {""locality_code"": 1344, ""locality_name_he"": ""גבעות בר"", ""locality_name_en"": ""Geva'ot Bar"", ""population"": 1344}, {""locality_code"": 1765, ""locality_name_he"": ""עידן הנגב"", ""locality_name_en"": ""Idan Hanegev"", ""population"": 0}, {""locality_code"": 1767, ""locality_name_he"": ""קמה (אזור תעשייה חקלאית)"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1920, ""locality_name_he"": ""אזור לכיש מ\""א 41"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1929, ""locality_name_he"": ""אזור גרר מ\""א 41"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 1937, ""locality_name_he"": ""אזור באר שבע מ\""א 41"", ""locality_name_en"": """", ""population"": 0}, {""locality_code"": 2023, ""locality_name_he"": ""להב"", ""locality_name_en"": ""Lahav"", ""population"": 675}, {""locality_code"": 2060, ""locality_name_he"": ""ברוש"", ""locality_name_en"": ""Berosh"", ""population"": 570}, {""locality_code"": 2061, ""locality_name_he"": ""תדהר"", ""locality_name_en"": ""Tidhar"", ""population"": 773}, {""locality_code"": 2062, ""locality_name_he"": ""תאשור"", ""locality_name_en"": ""Te'ashur"", ""population"": 445}]"
28,מועצה אזורית ברנר,מועצה אזורית,המרכז,רחובות,אשכול רשויות שורק דרומי,7616,8,"[{""locality_code"": 144, ""locality_name_he"": ""גן שלמה"", ""locality_name_en"": ""Gan Shelomo"", ""population"": 627}, {""locality_code"": 147, ""locality_name_he"": ""גבעת ברנר"", ""locality_name_en"": ""Giv'at Brenner"", ""population"": 2479}, {""locality_code"": 196, ""locality_name_he"": ""גיבתון"", ""locality_name_en"": ""Gibbeton"", ""population"": 399}, {""locality_code"": 562, ""locality_name_he"": ""בית אלעזרי"", ""locality_name_en"": ""Bet El'azari"", ""population"": 1601}, {""locality_code"": 615, ""locality_name_he"": ""קדרון"", ""locality_name_en"": ""Qidron"", ""population"": 1626}, {""locality_code"": 685, ""locality_name_he"": ""בניה"", ""locality_name_en"": ""Benaya"", ""population"": 884}, {""locality_code"": 1412, ""locality_name_he"": ""מחנה תל נוף*"", ""locality_name_en"": ""Mahane Tel Nof"", ""population"": 0}, {""locality_code"": 1896, ""locality_name_he"": ""אזור רחובות מ\""א 28"", ""locality_name_en"": """", ""population"": 0}]"
32,מועצה אזורית גדרות,מועצה אזורית,המרכז,רחובות,ללא שיוך לאשכול,4971,8,"[{""locality_code"": 555, ""locality_name_he"": ""שדמה"", ""locality_name_en"": ""Shedema"", ""population"": 463}, {""locality_code"": 591, ""locality_name_he"": ""עשרת"", ""locality_name_en"": ""Aseret"", ""population"": 1017}, {""locality_code"": 731, ""locality_name_he"": ""מישר"", ""locality_name_en"": ""Meshar"", ""population"": 739}, {""locality_code"": 764, ""locality_name_he"": ""כפר מרדכי"", ""locality_name_en"": ""Kefar Mordekhay"", ""population"": 651}, {""locality_code"": 765, ""locality_name_he"": ""משגב דב"", ""locality_name_en"": ""Misgav Dov"", ""population"": 746}, {""locality_code"": 857, ""locality_name_he"": ""כפר אביב"", ""locality_name_en"": ""Kefar Aviv"", ""population"": 771}, {""locality_code"": 1072, ""locality_name_he"": ""גן הדרום"", ""locality_name_en"": ""Gan HaDarom"", ""population"": 584}, {""locality_code"": 1897, ""locality_name_he"": ""אזור רחובות מ\""א 32"", ""locality_name_en"": """", ""population"": 0}]"
