source,code,label,amount_label,total_ils,row_count,unresolved_unit
even_yehuda_2025,6,הנהלה כללית,ביצוע 2023 מחירים שוטפים 2,43767000.0,1,False
even_yehuda_2025,6,הנהלה כללית,ביצוע 2024 מחירים שוטפים 4,52377000.0,1,False
even_yehuda_2025,6,הנהלה כללית,ביצוע 2024 מקודם 2025 למחירי 6,52863000.0,1,False
even_yehuda_2025,6,הנהלה כללית,מסגרת תקציב לשנת 2024 3,52401000.0,1,False
even_yehuda_2025,6,הנהלה כללית,מסגרת תקציב לשנת 2025 7,52705000.0,1,False
even_yehuda_2025,6,הנהלה כללית,שינויים כולל התייעלות 7 - 6,158000.0,1,False
even_yehuda_2025,64,פרעון מלוות,ביצוע 2023 מחירים שוטפים 2,0.0,1,False
even_yehuda_2025,64,פרעון מלוות,ביצוע 2024 מחירים שוטפים 4,0.0,1,False
even_yehuda_2025,64,פרעון מלוות,ביצוע 2024 מקודם 2025 למחירי 6,0.0,1,False
even_yehuda_2025,64,פרעון מלוות,מסגרת תקציב לשנת 2024 3,0.0,1,False
even_yehuda_2025,64,פרעון מלוות,מסגרת תקציב לשנת 2025 7,0.0,1,False
even_yehuda_2025,64,פרעון מלוות,שינויים כולל התייעלות 7 - 6,0.0,1,False
even_yehuda_2025,81,חינוך,ביצוע 2023 מחירים שוטפים 2,35647000.0,1,False
even_yehuda_2025,81,חינוך,ביצוע 2024 מחירים שוטפים 4,39905000.0,1,False
even_yehuda_2025,81,חינוך,ביצוע 2024 מקודם 2025 למחירי 6,38502000.0,1,False
even_yehuda_2025,81,חינוך,מסגרת תקציב לשנת 2024 3,39905000.0,1,False
even_yehuda_2025,81,חינוך,מסגרת תקציב לשנת 2025 7,42504000.0,1,False
even_yehuda_2025,81,חינוך,שינויים כולל התייעלות 7 - 6,4002000.0,1,False
even_yehuda_2025,84,רווחה,ביצוע 2023 מחירים שוטפים 2,10922000.0,1,False
even_yehuda_2025,84,רווחה,ביצוע 2024 מחירים שוטפים 4,12596000.0,1,False
even_yehuda_2025,84,רווחה,ביצוע 2024 מקודם 2025 למחירי 6,12677000.0,1,False
even_yehuda_2025,84,רווחה,מסגרת תקציב לשנת 2024 3,12596000.0,1,False
even_yehuda_2025,84,רווחה,מסגרת תקציב לשנת 2025 7,13428000.0,1,False
even_yehuda_2025,84,רווחה,שינויים כולל התייעלות 7 - 6,751000.0,1,False
mate_yehuda_2024,6,הנהלה כללית,באלפי ש''ח,202632000.0,1,False
mate_yehuda_2024,64,פרעון מלוות,באלפי ש''ח,23607000.0,1,False
mate_yehuda_2024,81,חינוך,באלפי ש''ח,250140000.0,1,False
mate_yehuda_2024,84,רווחה,באלפי ש''ח,57798000.0,1,False
